No.,Chap,Sect,#,Question,Section Name,Short Text,Question Type,Chemical,LNG,LPG,Oil,Conditional,Hardware Response Type,Human Response Type,Process Response Type,ROVIQ List
3.2.3,3,2,3,Was a report available onboard which confirmed that a dynamic navigational assessment by a suitably qualified specialist contractor had been completed while on passage as declared through the pre-inspection questionnaire?,Crew Evaluation,Dynamic navigational assessment by a specialist contractor,Rotational 1,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,"Bridge, Documentation"
3.2.4,3,2,4,"Was a report available onboard which confirmed that an unannounced remote navigational assessment, which included review of VDR & ECDIS data by an independent contractor or specialist company representative, had been completed as declared through the pre-inspection questionnaire?",Crew Evaluation,Unannounced remote navigational assessment,Rotational 1,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,"Bridge, Documentation"
3.2.5,3,2,5,Was a report available onboard which confirmed that a comprehensive cargo audit by a suitably qualified and experienced company representative had been completed as declared through the pre-inspection questionnaire?,Crew Evaluation,Comprehensive cargo audit by a company representative,Rotational 1,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,"Cargo Control Room, Documentation"
3.2.6,3,2,6,Was a report available onboard which confirmed that a comprehensive engineering audit by a suitable qualified and experienced company representative had been completed as declared in the pre-inspection questionnaire?,Crew Evaluation,Comprehensive engineering audit by a company representative,Rotational 1,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,"Chief Engineer's Office, Documentation, Engine Control Room"
3.2.7,3,2,7,Was a report available onboard which confirmed that a comprehensive mooring and anchoring audit by a suitably qualified and experienced company representative had been completed as declared through the pre-inspection questionnaire?,Crew Evaluation,Comprehensive mooring and anchoring audit by a company representative,Rotational 1,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,Documentation
3.2.8,3,2,8,"Had the vessel operator implemented a Behavioural Competency Assessment Programme onboard and was there evidence available that assessments were being conducted for navigation, cargo, mooring and engineering operations by approved assessors?",Crew Evaluation,Behavioural Competency Assessment Programme,Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,Documentation
3.3.1,3,3,1,Had the Master and all navigation officers attended a shore-based Bridge Team Management training course within the previous five years?,Crew Training,Shore-based Bridge Team Management training,Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,Documentation
3.3.2,3,3,2,Had the Master received formal ship handling training prior to promotion or when being assigned to a new type of ship having significantly different handling characteristics to ships in which they had recently served?,Crew Training,Formal ship handling training,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,None,Binary,Documentation
3.3.3,3,3,3,"Had the Master, deck officers, and cargo/gas engineer where carried, attended a shore-based simulator course covering routine and emergency cargo operations within the previous five years?",Crew Training,Cargo operations shore-based simulator course,Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,Documentation
3.3.4,3,3,4,Had the Chief Engineer and all engineer officers attended a shore-based engine room management simulator course covering routine and emergency machinery operations within the previous five years?,Crew Training,Shore-based engine room management simulator course,Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,Documentation
3.3.5,3,3,5,Did all key personnel onboard involved in Dynamically Positioned (DP) operations have appropriate training in accordance with IMO and International Marine Contractors Association (IMCA) guidelines and local regulations applicable to the area of operations?,Crew Training,Training for Dynamically Positioned (DP) operators,Rotational 2,FALSE,FALSE,FALSE,TRUE,TRUE,None,None,Graduated,"Bridge, Documentation"
3.3.6,3,3,6,"Had the Master, officers and ratings received the required training and familiarisation before being assigned duties related to handling LNG or other low-flashpoint fuel?",Crew Training,LNG or other low-flashpoint fuel training and familiarisation.,Rotational 2,TRUE,FALSE,TRUE,TRUE,TRUE,None,Graduated,Graduated,Documentation
3.4.1,3,4,1,"Was there an effective system in place to record and monitor the hours of rest for all personnel onboard in compliance with STCW, MLC or the regulatory requirements applicable to the vessel?",Crew Compliance,"Hours of rest, records and monitoring",Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Documentation
3.4.2,3,4,2,"Were the Master, officers and crew familiar with the company policy and procedures for drug and alcohol abuse prevention and had unannounced drug and alcohol testing taken place onboard in accordance with the policy?",Crew Compliance,Drug and alcohol abuse prevention,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Documentation
3.5.1,3,5,1,"Had the company developed an effective familiarisation programme that covered the personal safety and professional responsibilities of all onboard personnel, including visitors and contractors, and were records available to demonstrate that the familiarisation had been completed as required?",Crew Familiarisation,"Familiarisation of crew, visitors and contractors",Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Anywhere, Documentation"
3.5.2,3,5,2,"Were the Master, officers and ratings familiar with the ship’s lifesaving and fire extinguishing appliances and, had ongoing onboard training and instruction taken place to maintain familiarity?",Crew Familiarisation,Training and instruction LSA and FFA,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Anywhere, Documentation"
3.5.3,3,5,3,Had the Master and navigation officers been familiarised with the ECDIS equipment installed on board and were documented records of this familiarisation available?,Crew Familiarisation,Familiarisation with ECDIS equipment installed on board.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Documentation"
4.1.1,4,1,1,Were the Master and navigation officers familiar with the company procedures for the set up and operation of the ECDIS units fitted to the vessel and were records available to demonstrate that the ECDIS had been operated in accordance with company procedures at all stages of a voyage?,Navigation Equipment,ECDIS set up and operation,Core,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,Bridge
4.1.2,4,1,2,"Were the Master and navigation officers familiar with the company procedures for managing and operating the radar/ARPA units fitted to the vessel, and were records available to demonstrate that the units had been operated and tested in accordance with company procedures?",Navigation Equipment,Operation and testing of radar/ARPA,Core,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.3,4,1,3,Were the Master and navigation officers familiar with the company procedures for operating and testing the steering control systems fitted to the vessel and were records available to demonstrate that operation and testing had been carried out in accordance with the procedures?,Navigation Equipment,Operating and testing the steering control systems,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.4,4,1,4,Were the Master and navigation officers familiar with the company procedures for using the Automatic Identification System (AIS) fitted to the vessel and were records available to confirm that periodic checks and tests had been carried out in accordance with the procedures?,Navigation Equipment,Automatic Identification System (AIS),Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.5,4,1,5,Were the Master and navigation officers familiar with the company procedure for the use of the Bridge Navigational Watch Alarm System (BNWAS) and were records available to demonstrate that it had been operated and tested in accordance with the procedure?,Navigation Equipment,Bridge Navigational Watch Alarm System (BNWAS),Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.6,4,1,6,"Were the Master and navigation officers familiar with the company procedures governing the management and operation of the Global Navigation Satellite System (GNSS) receivers fitted onboard and was the fitted equipment configured, used and checked in accordance with the procedure?",Navigation Equipment,Global Navigation Satellite System(s),Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.7,4,1,7,Were the Master and navigation officers familiar with the company procedures for operating and managing the echo sounder and were records maintained to demonstrate that the equipment fitted to the vessel had been tested and operated in accordance with the company expectations?,Navigation Equipment,Echo sounder,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.8,4,1,8,Were the Master and navigation officers familiar with the company procedures for the operation and testing of the speed and distance measuring devices fitted to the vessel and were records available to demonstrate that periodic tests had been completed as required by the procedures?,Navigation Equipment,Speed and distance measuring devices,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.9,4,1,9,"Were the Master and navigation officers familiar with the company procedures for the use and testing of the navigation lights and shapes, and was there evidence that the navigation lights had been tested to confirm full functionality and correct visibility?",Navigation Equipment,Navigation lights and shapes,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.10,4,1,10,Were the Master and navigation officers familiar with the company procedure for managing Marine Safety Information broadcasts by NAVTEX and SafetyNET and were warnings affecting the vessel’s route plotted on the voyage charts?,Navigation Equipment,NAVTEX and SafetyNET,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.11,4,1,11,Were the Master and navigation officers familiar with the company procedure for preserving data from the VDR/S-VDR and were records available to demonstrate that tests of the equipment had been completed as required?,Navigation Equipment,Preserving data from the VDR/S-VDR,Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,Bridge
4.1.12,4,1,12,"Were the Master and navigation officers familiar with the company procedures relating to the magnetic and gyro compasses carried onboard, and were records available to demonstrate their accuracy and reliability?",Navigation Equipment,Magnetic and gyro compasses,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.13,4,1,13,"Were the Master and navigation officers familiar with the company procedures for the operation and testing of the VHF/DSC transceivers fitted to the vessel, and were records available to demonstrate that periodic tests and checks had been completed in accordance with company expectations?",Navigation Equipment,VHF/DSC transceivers,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.14,4,1,14,Were the Master and navigation officers familiar with the company procedure for testing and using the daylight signalling lamp?,Navigation Equipment,Daylight signalling lamp,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.1.15,4,1,15,Were the Master and navigation officers familiar with the company procedures for the use and testing of the sound signalling equipment fitted to the vessel and were records available to confirm that periodic tests had been completed and the equipment used in accordance with company expectations?,Navigation Equipment,Sound signalling equipment,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.2.1,4,2,1,"Were the Master and navigating officers familiar with the company passage planning procedures and had all voyages been appraised, planned, executed and monitored in accordance with company procedures, industry best practice and both local and international rules?",Navigational Procedures,Passage planning,Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Bridge
4.2.2,4,2,2,"Were the Master and navigation officers familiar with the company under keel clearance (UKC) policy and procedure, and were records available to demonstrate that the required calculations had been completed at the appropriate points during each voyage and the vessel had remained in compliance with the UKC policy?",Navigational Procedures,Under keel clearance (UKC) policy,Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Bridge
4.2.3,4,2,3,"Had the Master prepared Master's Standing Orders, supplemented by Daily Orders, which emphasised and reinforced the company expectations with regards to navigational requirements including restricted visibility, CPA/BCR and minimum passing distance from navigational dangers and navigational aids and, if so, had all navigation officers signed to acknowledge their understanding of the same?",Navigational Procedures,Master's Standing Orders and Daily Orders,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Bridge
4.2.4,4,2,4,"Were the Master and navigation officers familiar with the company electronic chart management procedures and were onboard ENCs and RNCs managed, corrected and used appropriately?",Navigational Procedures,Electronic chart management.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.2.5,4,2,5,"Were the Master and navigation officers familiar with the company paper chart management procedures and were onboard paper charts managed, corrected and used appropriately?",Navigational Procedures,Paper chart management,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.2.6,4,2,6,"Were the Master and navigation officers familiar with the company procedures for testing the navigational equipment, main propulsion, steering gear and thrusters prior to use and prior to critical phases of a passage or operation and, did checklists or logbook entries confirm the required tests had been completed as required?",Navigational Procedures,"Testing navigational equipment, main propulsion, steering gear and thrusters",Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.2.7,4,2,7,Were the Master and navigation officers familiar with the company procedure for the carriage and management of nautical publications and was evidence available to demonstrate that publications had been managed in accordance with the procedure?,Navigational Procedures,Nautical publications,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.3.1,4,3,1,Were the master and navigation officers familiar with the company procedures defining the minimum bridge team composition and engine room operating mode and were records available to demonstrate that recent voyages had been planned and executed in accordance with company expectations?,Bridge and Machinery Space Team Management,Minimum bridge team composition,Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Bridge
4.3.2,4,3,2,"Were the engineer officers familiar with the company procedures defining machinery space operating mode and, where required to be attended, the machinery space team composition during the various stages of a voyage, and were records available to confirm the machinery space had been operated accordingly?",Bridge and Machinery Space Team Management,Machinery space team composition,Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Engine Control Room"
4.3.3,4,3,3,Were the Master and navigation officers familiar with the company procedures for integrating a pilot (or similar role*) into the bridge team and were records available to demonstrate that the process had been followed?,Bridge and Machinery Space Team Management,Integrating a pilot (or similar role) into the bridge team,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Bridge
4.3.4,4,3,4,"Were the Master and navigation officers familiar with the company procedures to prevent disruption and distraction on the bridge, and were these procedures being complied with?",Bridge and Machinery Space Team Management,Bridge distractions.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Bridge
4.4.1,4,4,1,"Were the Master and Officers familiar with the operation of the Emergency Position Indicating Radio Beacon (EPIRB) and was the EPIRB in good order with records available to demonstrate that had it been inspected, tested and maintained as required?",Communications Equipment and Procedures,Emergency Position Indicating Radio Beacon (EPIRB),Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.4.2,4,4,2,"Were the Master and officers familiar with the operation of the Search and Rescue Transmitters (SARTs), and were the SARTs in good order with records available to demonstrate that had they had been inspected and tested as required?",Communications Equipment and Procedures, Search and Rescue Transmitters (SARTs),Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Bridge, Lifeboat deck"
4.4.3,4,4,3,"Were the Master and Officers familiar with the location, purpose and operation of the survival craft portable two-way VHF radios and were they in good order with records available to demonstrate that had they been inspected and tested as required?",Communications Equipment and Procedures,Survival craft portable two-way VHF radios,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.4.4,4,4,4,"Were the Master and navigation officers familiar with the procedures for sending and receiving distress, urgency and safety messages and were suitable instructions posted by the GMDSS equipment?",Communications Equipment and Procedures,"Sending and receiving distress, urgency and safety messages",Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.4.5,4,4,5,"Were the Master and navigation officers familiar with the operation, testing and maintenance of the GMDSS VHF, MF and HF radio and satellite communications equipment and were records available to demonstrate the equipment was in good order?",Communications Equipment and Procedures,Operation and testing of GMDSS station.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
4.4.6,4,4,6,"Were the Master, officers and crew aware of the potential danger of using radio or mobile telephone equipment during cargo and ballast handling operations and was there a sufficient number of intrinsically safe portable radios for use in operational areas?",Communications Equipment and Procedures,Use of radio or mobile telephone equipment during cargo and ballast handling,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Bridge, Cargo Control Room, Main Deck"
4.5.1,4,5,1,"Was the latest Annual DP Trial report available on board, were the Master and officers familiar with the contents, and had they taken part in onboard training and drills involving various DP scenarios?",DP & Shuttle Tanker Specialist Procedures and Equipment,Annual DP Trial report and supporting exercises.,Rotational 2,FALSE,FALSE,FALSE,TRUE,TRUE,None,Graduated,Graduated,"Bridge, Engine Control Room"
4.5.2,4,5,2,"Were the Master and officers familiar with the company procedures for the use of Position Reference Systems (PRS), and was the equipment in satisfactory condition with sensor offset data readily available to the DPO?",DP & Shuttle Tanker Specialist Procedures and Equipment,DP Position Reference Systems,Rotational 1,FALSE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,Bridge
4.5.3,4,5,3,"Were the Master and Officers familiar with the company procedures for reporting and recording DP events and incidents, and were all DP parameters being logged and recorded?",DP & Shuttle Tanker Specialist Procedures and Equipment,DP events and incidents,Rotational 1,FALSE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Bridge, Documentation"
4.5.4,4,5,4,"Was the vessel provided with a comprehensive DP operations manual and were the Master and officers familiar with its contents, including DP checklists, capability plots, consequence analysis and activity specific operating guidelines (ASOG)?",DP & Shuttle Tanker Specialist Procedures and Equipment,DP operations manual,Rotational 2,FALSE,FALSE,FALSE,TRUE,TRUE,None,Graduated,Graduated,Bridge
4.5.5,4,5,5,"Were up to date Field Operations Manuals on board for each offshore terminal to which the vessel trades, were the Master and officers familiar with their content, and were records available of the regular communication checks with terminal installations as required by Field Specific Operating Guidelines (FSOG)?",DP & Shuttle Tanker Specialist Procedures and Equipment,Field Operations Manuals,Rotational 2,FALSE,FALSE,FALSE,TRUE,TRUE,None,Graduated,Graduated,Bridge
5.1.1,5,1,1,"Were the Master and officers familiar with the onboard emergency response plans, and were records available to demonstrate that all mandatory and company defined emergency drills had been completed and documented as required by company procedures?",Emergency Response Plans and Drills,Records of mandatory and company defined emergency drills,Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Cargo Control Room, Documentation"
5.1.2,5,1,2,"Were the Master and officers familiar with the shipboard emergency plans for the principal fire scenarios for the vessel type, and had drills taken place to test the effectiveness of the plans in accordance with the company procedures?",Emergency Response Plans and Drills,Emergency plans & drills for principal fire scenarios,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Cargo Control Room, Documentation"
5.1.3,5,1,3,"Were the Master and officers familiar with the vessel’s SOPEP or SMPEP, and had drills taken place to test the effectiveness of the onboard emergency response actions required by the Plan and company procedures?",Emergency Response Plans and Drills,Pollution prevention drills required by SOPEP or SMPEP,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Cargo Control Room, Documentation, Interview - Deck Officer"
5.1.4,5,1,4,"Were the Master and officers familiar with the shipboard emergency plan for enclosed space rescue, and had drills taken place to test the effectiveness of the shipboard emergency response plan in accordance with company procedures?",Emergency Response Plans and Drills,Enclosed space rescue emergency response drill.,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Documentation, Interview - Deck Rating, Main Deck"
5.1.5,5,1,5,"Were the Master and Ship Security Officer (SSO) familiar with the vessel’s Ship Security Plan (SSP), and had drills taken place to test the effectiveness of the measures and procedures specified by the Ship Security Plan?",Emergency Response Plans and Drills,Drills required by the Ship Security Plan (SSP),Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Documentation, Interview - Security Officer"
5.1.6,5,1,6,"Were the Master, officers and ratings familiar with the procedure for launching the lifeboat(s), and had abandon ship drills taken place in accordance with company procedures and the requirements of SOLAS and the Flag Administration?",Emergency Response Plans and Drills,Launching the lifeboat(s) and abandon ship drills,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Documentation, Interview - Deck Rating, Lifeboat deck"
5.1.7,5,1,7,"Were the Master and officers familiar with the shipboard emergency plan for a cargo vapour or liquid release, Including potential fire,  and had drills taken place to test the effectiveness of the shipboard emergency response plan in accordance with company procedures?",Emergency Response Plans and Drills,"Emergency plan & drills for a cargo vapour or liquid release, Including potential fire",Rotational 1,FALSE,TRUE,TRUE,FALSE,FALSE,None,Graduated,Graduated,"Cargo Control Room, Documentation"
